StartTime,Flgs,Proto,SrcAddr,Sport,Dir,DstAddr,Dport,TotPkts,TotBytes,State
07:39:47.631550, e s      ,tcp,10.32.92.10,60867, ->,172.10.0.6,bb,2,124,REQ
07:39:52.726116, e s      ,tcp,10.32.92.5,22974, ->,172.10.0.6,bb,6,388,REQ
07:39:57.585410, e        ,arp,10.32.92.5,,who,10.32.92.1,,8,480,CON
07:39:59.585510, e        ,arp,10.32.92.5,,who,10.32.92.4,,152,9120,INT
07:40:13.008211, e        ,udp,10.32.92.5,netbios-ns, ->,10.255.255.255,netbios-ns,24,2208,INT
07:40:14.726845, e s      ,tcp,10.32.92.5,22976, ->,172.10.0.6,bb,6,388,REQ
07:40:29.725525, M        ,arp,10.32.92.2,,who,10.32.92.1,,10,600,CON
07:40:29.725924, e s      ,tcp,10.32.92.2,ttat3lb, ->,172.23.0.5,bb,6,372,REQ
07:40:36.774595, e s      ,tcp,10.32.92.5,22978, ->,172.10.0.6,bb,6,388,REQ
07:40:41.586898, e        ,arp,10.32.92.5,,who,10.32.92.1,,8,480,CON
07:40:51.819843, e s      ,tcp,10.32.92.2,kfxaclicensing, ->,172.23.0.5,bb,6,372,REQ
07:40:58.868966, e s      ,tcp,10.32.92.5,22980, ->,172.10.0.6,bb,6,388,REQ
07:41:14.023784, e s      ,tcp,10.32.92.2,canex-watch, ->,172.23.0.5,bb,6,372,REQ
07:41:26.088633, e        ,arp,10.32.92.5,,who,10.32.92.4,,152,9120,INT
07:41:37.321241, e s      ,tcp,10.32.92.2,emprise-lls, ->,172.23.0.5,bb,6,372,REQ
07:41:39.261235, e        ,udp,10.32.92.5,netbios-ns, ->,10.255.255.255,netbios-ns,24,2208,INT
07:41:41.979473, M        ,arp,10.32.92.10,,who,10.32.92.1,,14,840,CON
07:41:41.979682, e s      ,tcp,10.32.92.10,60869, ->,172.10.0.6,bb,6,388,REQ
07:41:59.525314, e s      ,tcp,10.32.92.2,p2pgroup, ->,172.23.0.5,bb,6,372,REQ
07:42:04.058369, e s      ,tcp,10.32.92.10,60871, ->,172.10.0.6,bb,6,388,REQ
07:42:21.729412, e s      ,tcp,10.32.92.2,isomair, ->,172.23.0.5,bb,6,372,REQ
07:42:26.137284, e s      ,tcp,10.32.92.10,60873, ->,172.10.0.6,bb,6,388,REQ
07:42:30.762197, e        ,arp,10.32.92.10,,who,10.32.92.1,,8,480,CON
07:42:43.823685, e s      ,tcp,10.32.92.2,gtrack-server, ->,172.23.0.5,bb,6,372,REQ
07:42:48.169247, e s      ,tcp,10.32.92.10,60875, ->,172.10.0.6,bb,6,388,REQ
07:42:52.091569, e        ,arp,10.32.92.5,,who,10.32.92.4,,152,9120,INT
07:43:01.264004, M        ,arp,10.32.92.5,,who,10.32.92.1,,14,840,CON
07:43:01.264193, e s      ,tcp,10.32.92.5,22982, ->,172.10.0.6,bb,6,388,REQ
07:43:06.136996, e s      ,tcp,10.32.92.2,bpmd, ->,172.23.0.5,bb,6,372,REQ
07:43:06.467368, e        ,udp,10.32.92.5,netbios-ns, ->,10.255.255.255,netbios-ns,24,2208,INT
07:43:10.248089, e s      ,tcp,10.32.92.10,60877, ->,172.10.0.6,bb,6,388,REQ
07:43:14.763632, e        ,arp,10.32.92.10,,who,10.32.92.1,,8,480,CON
07:43:23.327068, e s      ,tcp,10.32.92.5,22984, ->,172.10.0.6,bb,6,388,REQ
07:43:32.373803, e s      ,tcp,10.32.92.10,60879, ->,172.10.0.6,bb,6,388,REQ
07:43:39.029540, e        ,udp,10.32.92.2,netbios-dgm, ->,10.255.255.255,netbios-dgm,8,1968,INT
07:43:45.406285, e s      ,tcp,10.32.92.5,22986, ->,172.10.0.6,bb,6,388,REQ
07:43:50.093498, e        ,arp,10.32.92.5,,who,10.32.92.1,,8,480,CON
07:43:54.421456, e s      ,tcp,10.32.92.10,60881, ->,172.10.0.6,bb,6,388,REQ
07:43:59.265206, e        ,arp,10.32.92.10,,who,10.32.92.1,,8,480,CON
07:44:07.485028, e s      ,tcp,10.32.92.5,22988, ->,172.10.0.6,bb,6,388,REQ
07:44:16.516154, e s      ,tcp,10.32.92.10,60883, ->,172.10.0.6,bb,6,388,REQ
07:44:19.594662, e        ,arp,10.32.92.5,,who,10.32.92.4,,152,9120,INT
07:44:29.813890, e s      ,tcp,10.32.92.5,22990, ->,172.10.0.6,bb,6,388,REQ
07:44:32.720393, e        ,udp,10.32.92.5,netbios-ns, ->,10.255.255.255,netbios-ns,24,2208,INT
07:44:34.595115, e        ,arp,10.32.92.5,,who,10.32.92.1,,8,480,CON
07:44:38.610610, e s      ,tcp,10.32.92.10,60885, ->,172.10.0.6,bb,6,388,REQ
07:44:43.266718, e        ,arp,10.32.92.10,,who,10.32.92.1,,4,240,CON
07:44:51.877222, e s      ,tcp,10.32.92.5,22992, ->,172.10.0.6,bb,6,388,REQ
07:45:05.844563, e        ,udp,10.32.92.2,netbios-dgm, ->,10.255.255.255,netbios-dgm,8,1944,INT
07:45:13.909179, e s      ,tcp,10.32.92.5,22994, ->,172.10.0.6,bb,6,388,REQ
07:45:18.596625, e        ,arp,10.32.92.5,,who,10.32.92.1,,8,480,CON
07:45:30.188930, M        ,arp,10.32.92.2,,who,10.32.92.1,,10,600,CON
07:45:30.189155, e s      ,tcp,10.32.92.2,shareapp, ->,172.23.0.5,bb,6,372,REQ
07:45:35.988037, e s      ,tcp,10.32.92.5,22996, ->,172.10.0.6,bb,6,388,REQ
07:45:45.597589, e        ,arp,10.32.92.5,,who,10.32.92.4,,152,9120,INT
07:45:52.283537, e s      ,tcp,10.32.92.2,a14, ->,172.23.0.5,bb,6,372,REQ
07:45:58.067041, e s      ,tcp,10.32.92.5,22998, ->,172.10.0.6,bb,6,388,REQ
07:45:58.973441, e        ,udp,10.32.92.5,netbios-ns, ->,10.255.255.255,netbios-ns,24,2208,INT
07:46:02.598177, e        ,arp,10.32.92.5,,who,10.32.92.1,,4,240,CON
07:46:14.487288, e s      ,tcp,10.32.92.2,quasar-server, ->,172.23.0.5,bb,6,372,REQ
07:46:37.785097, e s      ,tcp,10.32.92.2,visinet-gui, ->,172.23.0.5,bb,6,372,REQ
07:46:42.286857, M        ,arp,10.32.92.10,,who,10.32.92.1,,14,840,CON
07:46:42.287077, e s      ,tcp,10.32.92.10,60887, ->,172.10.0.6,bb,6,388,REQ
07:46:59.879554, e s      ,tcp,10.32.92.2,int-rcv-cntrl, ->,172.23.0.5,bb,6,372,REQ
07:47:04.381222, e s      ,tcp,10.32.92.10,60889, ->,172.10.0.6,bb,6,388,REQ
07:47:12.100650, e        ,arp,10.32.92.5,,who,10.32.92.4,,152,9120,INT
07:47:21.865022, e s      ,tcp,10.32.92.2,comcam-io, ->,172.23.0.5,bb,6,372,REQ
07:47:25.226469, e        ,udp,10.32.92.5,netbios-ns, ->,10.255.255.255,netbios-ns,24,2208,INT
07:47:26.428972, e s      ,tcp,10.32.92.10,60891, ->,172.10.0.6,bb,6,388,REQ
07:47:31.272686, e        ,arp,10.32.92.10,,who,10.32.92.1,,8,480,CON
07:47:43.849726, e s      ,tcp,10.32.92.2,precise-i3, ->,172.23.0.5,bb,6,372,REQ
07:47:48.523500, e s      ,tcp,10.32.92.10,60893, ->,172.10.0.6,bb,6,388,REQ
07:48:01.462043, M        ,arp,10.32.92.5,,who,10.32.92.1,,14,840,CON
07:48:01.462263, e s      ,tcp,10.32.92.5,23000, ->,172.10.0.6,bb,6,388,REQ
07:48:06.053697, e s      ,tcp,10.32.92.2,cpdi-pidas-cm, ->,172.23.0.5,bb,6,372,REQ
07:48:10.602440, e s      ,tcp,10.32.92.10,60895, ->,172.10.0.6,bb,6,388,REQ
07:48:15.274234, e        ,arp,10.32.92.10,,who,10.32.92.1,,8,480,CON
07:48:23.540877, e s      ,tcp,10.32.92.5,23002, ->,172.10.0.6,bb,6,388,REQ
07:48:32.743693, e s      ,tcp,10.32.92.10,60897, ->,172.10.0.6,bb,6,388,REQ
07:48:38.103652, e        ,arp,10.32.92.5,,who,10.32.92.4,,152,9120,INT
07:48:45.619689, e s      ,tcp,10.32.92.5,23004, ->,172.10.0.6,bb,6,388,REQ
07:48:50.604034, e        ,arp,10.32.92.5,,who,10.32.92.1,,8,480,CON
07:48:51.479483, e        ,udp,10.32.92.5,netbios-ns, ->,10.255.255.255,netbios-ns,24,2208,INT
07:48:54.822533, e s      ,tcp,10.32.92.10,60899, ->,172.10.0.6,bb,6,388,REQ
07:48:59.775680, e        ,arp,10.32.92.10,,who,10.32.92.1,,8,480,CON
07:49:07.667373, e s      ,tcp,10.32.92.5,23006, ->,172.10.0.6,bb,6,388,REQ
07:49:16.932742, e s      ,tcp,10.32.92.10,60901, ->,172.10.0.6,bb,6,388,REQ
07:49:30.043138, e s      ,tcp,10.32.92.5,23008, ->,172.10.0.6,bb,6,388,REQ
07:49:34.605573, e        ,arp,10.32.92.5,,who,10.32.92.1,,8,480,CON
07:49:39.011713, e s      ,tcp,10.32.92.10,60903, ->,172.10.0.6,bb,6,388,REQ
07:49:43.777316, e        ,arp,10.32.92.10,,who,10.32.92.1,,4,240,CON
07:49:52.122050, e s      ,tcp,10.32.92.5,23010, ->,172.10.0.6,bb,6,388,REQ
07:50:04.606751, e        ,arp,10.32.92.5,,who,10.32.92.4,,152,9120,INT
07:50:14.169649, e s      ,tcp,10.32.92.5,23012, ->,172.10.0.6,bb,6,388,REQ
07:50:18.232404, e        ,udp,10.32.92.5,netbios-ns, ->,10.255.255.255,netbios-ns,24,2208,INT
07:50:19.107169, e        ,arp,10.32.92.5,,who,10.32.92.1,,8,480,CON
07:50:24.175866, e        ,udp,10.32.92.5,netbios-dgm, ->,10.255.255.255,netbios-dgm,8,1944,INT
07:50:30.105874, M        ,arp,10.32.92.2,,who,10.32.92.1,,10,600,CON
07:50:30.106079, e s      ,tcp,10.32.92.2,six-degrees, ->,172.23.0.5,bb,6,372,REQ
07:50:36.264202, e s      ,tcp,10.32.92.5,23014, ->,172.10.0.6,bb,6,388,REQ
07:50:52.200032, e s      ,tcp,10.32.92.2,alaris-disc, ->,172.23.0.5,bb,6,372,REQ
07:50:58.358631, e s      ,tcp,10.32.92.5,23016, ->,172.10.0.6,bb,6,388,REQ
07:51:03.108745, e        ,arp,10.32.92.5,,who,10.32.92.1,,4,240,CON
07:51:14.294779, e s      ,tcp,10.32.92.2,start-network, ->,172.23.0.5,bb,6,372,REQ
07:51:31.109769, e        ,arp,10.32.92.5,,who,10.32.92.4,,152,9120,INT
07:51:37.373645, e s      ,tcp,10.32.92.2,sharp-server, ->,172.23.0.5,bb,6,372,REQ
07:51:42.703523, M        ,arp,10.32.92.10,,who,10.32.92.1,,14,840,CON
07:51:42.703760, e s      ,tcp,10.32.92.10,60905, ->,172.10.0.6,bb,6,388,REQ
07:51:44.485516, e        ,udp,10.32.92.5,netbios-ns, ->,10.255.255.255,netbios-ns,24,2208,INT
07:51:59.358809, e s      ,tcp,10.32.92.2,aairnet-2, ->,172.23.0.5,bb,6,372,REQ
07:52:04.782289, e s      ,tcp,10.32.92.10,60907, ->,172.10.0.6,bb,6,388,REQ
07:52:21.344004, e s      ,tcp,10.32.92.2,ep-nsp, ->,172.23.0.5,bb,6,372,REQ
07:52:26.861222, e s      ,tcp,10.32.92.10,60909, ->,172.10.0.6,bb,6,388,REQ
07:52:31.783089, e        ,arp,10.32.92.10,,who,10.32.92.1,,8,480,CON
07:52:43.547853, e s      ,tcp,10.32.92.2,haipe-discover, ->,172.23.0.5,bb,6,372,REQ
07:52:48.940250, e s      ,tcp,10.32.92.10,60911, ->,172.10.0.6,bb,6,388,REQ
07:52:57.612713, e        ,arp,10.32.92.5,,who,10.32.92.4,,152,9120,INT
07:53:01.769288, M        ,arp,10.32.92.5,,who,10.32.92.1,,14,840,CON
07:53:01.769506, e s      ,tcp,10.32.92.5,23018, ->,172.10.0.6,bb,6,388,REQ
07:53:05.861078, e s      ,tcp,10.32.92.2,volley, ->,172.23.0.5,bb,6,372,REQ
07:53:10.738440, e        ,udp,10.32.92.5,netbios-ns, ->,10.255.255.255,netbios-ns,24,2208,INT
07:53:11.019060, e s      ,tcp,10.32.92.10,60913, ->,172.10.0.6,bb,6,388,REQ
07:53:15.784631, e        ,arp,10.32.92.10,,who,10.32.92.1,,8,480,CON
07:53:23.848274, e s      ,tcp,10.32.92.5,23020, ->,172.10.0.6,bb,6,388,REQ
07:53:33.129264, e s      ,tcp,10.32.92.10,60915, ->,172.10.0.6,bb,6,388,REQ
07:53:34.693617, e        ,arp,10.32.92.5,,who,10.32.92.4,,72,4320,INT
07:53:45.895939, e s      ,tcp,10.32.92.5,23022, ->,172.10.0.6,bb,6,388,REQ
07:53:46.692850, e        ,udp,10.32.92.5,netbios-ns, ->,10.255.255.255,netbios-ns,24,2208,REQ
07:53:50.614504, e        ,arp,10.32.92.5,,who,10.32.92.1,,8,480,CON
07:53:55.161218, e s      ,tcp,10.32.92.10,60917, ->,172.10.0.6,bb,6,388,REQ
07:53:59.786169, e        ,arp,10.32.92.10,,who,10.32.92.1,,8,480,CON
07:54:07.943476, e s      ,tcp,10.32.92.5,23024, ->,172.10.0.6,bb,6,388,REQ
07:54:17.208850, e s      ,tcp,10.32.92.10,60919, ->,172.10.0.6,bb,6,388,REQ
07:54:24.991895, e        ,arp,10.32.92.5,,who,10.32.92.4,,144,8640,INT
07:54:30.334812, e s      ,tcp,10.32.92.5,23026, ->,172.10.0.6,bb,6,388,REQ
07:54:35.116154, e        ,arp,10.32.92.5,,who,10.32.92.1,,8,480,CON
07:54:36.991599, e        ,udp,10.32.92.5,netbios-ns, ->,10.255.255.255,netbios-ns,24,2208,REQ
07:54:39.272296, e s      ,tcp,10.32.92.10,60921, ->,172.10.0.6,bb,6,388,REQ
07:54:43.787793, e        ,arp,10.32.92.10,,who,10.32.92.1,,4,240,CON
07:54:52.398147, e s      ,tcp,10.32.92.5,23028, ->,172.10.0.6,bb,6,388,REQ
07:55:14.430388, e s      ,tcp,10.32.92.5,23030, ->,172.10.0.6,bb,6,388,REQ
07:55:19.117604, e        ,arp,10.32.92.5,,who,10.32.92.1,,8,480,CON
07:55:29.913115, M        ,arp,10.32.92.2,,who,10.32.92.1,,10,600,CON
07:55:29.913363, e s      ,tcp,10.32.92.2,jamserverport, ->,172.23.0.5,bb,6,372,REQ
07:55:36.555942, e s      ,tcp,10.32.92.5,23032, ->,172.10.0.6,bb,6,388,REQ
07:55:50.118810, e        ,arp,10.32.92.5,,who,10.32.92.4,,152,9120,INT
07:55:52.007445, e s      ,tcp,10.32.92.2,escvpnet, ->,172.23.0.5,bb,6,372,REQ
07:55:58.650436, e s      ,tcp,10.32.92.5,23034, ->,172.10.0.6,bb,6,388,REQ
07:56:03.244553, e        ,udp,10.32.92.5,netbios-ns, ->,10.255.255.255,netbios-ns,24,2208,INT
07:56:03.619133, e        ,arp,10.32.92.5,,who,10.32.92.1,,4,240,CON
07:56:14.102010, e s      ,tcp,10.32.92.2,cs-services, ->,172.23.0.5,bb,6,372,REQ
07:56:37.180893, e s      ,tcp,10.32.92.2,wacp, ->,172.23.0.5,bb,6,372,REQ
07:56:42.651616, M        ,arp,10.32.92.10,,who,10.32.92.1,,14,840,CON
07:56:42.651836, e s      ,tcp,10.32.92.10,60923, ->,172.10.0.6,bb,6,388,REQ
07:56:59.166098, e s      ,tcp,10.32.92.2,sdo, ->,172.23.0.5,bb,6,372,REQ
07:57:04.667931, e s      ,tcp,10.32.92.10,60925, ->,172.10.0.6,bb,6,388,REQ
07:57:06.494838, e        ,udp,10.32.92.2,netbios-dgm, ->,10.255.255.255,netbios-dgm,8,1944,INT
07:57:16.121744, e        ,arp,10.32.92.5,,who,10.32.92.4,,152,9120,INT
